season,matches,total_runs,avg_runs,avg_runs_per_match
2008,58,17937.0,309.26,309.26
2009,57,16353.0,286.89,286.89
2010,60,18883.0,314.72,314.72
2011,73,21154.0,289.78,289.78
2012,74,22453.0,303.42,303.42
2013,76,22602.0,297.39,297.39
2014,60,18931.0,315.52,315.52
2015,59,18353.0,311.07,311.07
2016,60,18862.0,314.37,314.37
2017,59,18786.0,318.41,318.41
2018,60,19901.0,331.68,331.68
2019,60,19434.0,323.9,323.9
2020,60,19416.0,323.6,323.6
2021,60,18637.0,310.62,310.62
2022,74,24395.0,329.66,329.66
2023,74,25688.0,347.14,347.14
2024,71,25971.0,365.79,365.79
2025,74,26527.0,358.47,358.47
2026,74,27455.0,371.01,371.01
