venue,matches,total_runs,avg_runs_per_match
Wankhede Stadium,125,41321.0,330.57
Eden Gardens,100,32224.0,322.24
M Chinnaswamy Stadium,99,32399.0,327.26
"MA Chidambaram Stadium, Chepauk",82,26042.0,317.59
"Rajiv Gandhi International Stadium, Uppal",64,19519.0,304.98
Feroz Shah Kotla,60,18421.0,307.02
"Punjab Cricket Association Stadium, Mohali",50,16319.0,326.38
Sawai Mansingh Stadium,47,14264.0,303.49
Dubai International Cricket Stadium,46,14450.0,314.13
"Narendra Modi Stadium, Ahmedabad",41,14428.0,351.9
